datetime,open,high,low,close
01/03/2009,0.0001,0.000104,0.0001,0.0001
01/04/2009,0.000106,0.00011,0.0001,0.0001
01/05/2009,0.000105,0.000106,0.0001,0.0001
01/06/2009,0.0001,0.000103,0.0001,0.0001
01/07/2009,0.000102,0.000107,0.0001,0.0001
01/08/2009,0.0001,0.000109,0.0001,0.0001
01/09/2009,0.0001,0.000107,0.0001,0.0001
01/10/2009,0.000103,0.000106,0.0001,0.0001
01/11/2009,0.0001,0.000103,0.0001,0.0001
01/12/2009,0.0001,0.000103,0.0001,0.0001
01/13/2009,0.000107,0.000112,0.0001,0.0001
01/14/2009,0.0001,0.000104,0.0001,0.0001
01/15/2009,0.0001,0.000104,0.0001,0.0001
01/16/2009,0.000102,0.000109,0.0001,0.0001
01/17/2009,0.0001,0.000111,0.0001,0.0001
01/18/2009,0.0001,0.000103,0.0001,0.0001
01/19/2009,0.0001,0.000107,0.0001,0.0001
01/20/2009,0.0001,0.000106,0.0001,0.0001
01/21/2009,0.000106,0.000108,0.0001,0.0001
01/22/2009,0.0001,0.000103,0.0001,0.0001
01/23/2009,0.0001,0.000103,0.0001,0.0001
01/24/2009,0.000101,0.000107,0.0001,0.0001
01/25/2009,0.0001,0.000105,0.0001,0.0001
01/26/2009,0.0001,0.000104,0.0001,0.0001
01/27/2009,0.000101,0.000107,0.0001,0.0001
01/28/2009,0.000102,0.000104,0.0001,0.0001
01/29/2009,0.000104,0.000109,0.0001,0.0001
01/30/2009,0.0001,0.000102,0.0001,0.0001
01/31/2009,0.0001,0.000125,0.0001,0.000118
02/01/2009,0.000124,0.000129,0.0001,0.0001
02/02/2009,0.000103,0.00011,0.0001,0.0001
02/03/2009,0.000102,0.000163,0.0001,0.000151
02/04/2009,0.000146,0.000153,0.0001,0.0001
02/05/2009,0.0001,0.000157,0.0001,0.000151
02/06/2009,0.000149,0.000154,0.000139,0.000148
02/07/2009,0.000137,0.000145,0.0001,0.0001
02/08/2009,0.0001,0.000124,0.0001,0.000116
02/09/2009,0.000101,0.000107,0.0001,0.0001
02/10/2009,0.000107,0.000171,0.000101,0.000159
02/11/2009,0.000155,0.000158,0.0001,0.0001
02/12/2009,0.000103,0.00011,0.0001,0.0001
02/13/2009,0.00011,0.000115,0.0001,0.0001
02/14/2009,0.0001,0.000158,0.0001,0.00015
02/15/2009,0.000152,0.000159,0.0001,0.0001
02/16/2009,0.000103,0.000133,0.0001,0.000127
02/17/2009,0.000119,0.000218,0.000113,0.000214
02/18/2009,0.000198,0.000206,0.0001,0.0001
02/19/2009,0.000103,0.000132,0.0001,0.000121
02/20/2009,0.000117,0.000174,0.000112,0.000166
02/21/2009,0.000177,0.000184,0.000154,0.000163
02/22/2009,0.000157,0.00018,0.000147,0.000173
02/23/2009,0.000169,0.000173,0.000134,0.000139
02/24/2009,0.000135,0.000194,0.000122,0.000184
02/25/2009,0.000178,0.000214,0.000157,0.000205
02/26/2009,0.000199,0.000212,0.000195,0.000206
02/27/2009,0.000203,0.000205,0.0001,0.0001
02/28/2009,0.0001,0.000165,0.0001,0.000153
03/01/2009,0.000155,0.000218,0.000146,0.000211
03/02/2009,0.000223,0.000227,0.0001,0.0001
03/03/2009,0.000105,0.000254,0.0001,0.000248
03/04/2009,0.000244,0.000254,0.000129,0.000137
03/05/2009,0.000128,0.000318,0.000117,0.000313
03/06/2009,0.000323,0.000335,0.00016,0.000172
03/07/2009,0.000165,0.000171,0.000106,0.00011
03/08/2009,0.000109,0.000197,0.000101,0.00018
03/09/2009,0.000173,0.000186,0.000145,0.00016
03/10/2009,0.000155,0.00034,0.000141,0.000324
03/11/2009,0.000326,0.000329,0.000226,0.00023
03/12/2009,0.000224,0.000227,0.0001,0.0001
03/13/2009,0.0001,0.000275,0.0001,0.000261
03/14/2009,0.000274,0.000284,0.000144,0.000153
03/15/2009,0.000159,0.000165,0.000114,0.000122
03/16/2009,0.000122,0.000282,0.000106,0.000262
03/17/2009,0.000283,0.000314,0.000274,0.00031
03/18/2009,0.000313,0.000342,0.000228,0.000253
03/19/2009,0.00022,0.000268,0.000208,0.000257
03/20/2009,0.000268,0.000271,0.000187,0.000189
03/21/2009,0.000173,0.000176,0.0001,0.0001
03/22/2009,0.000105,0.000377,0.0001,0.000366
03/23/2009,0.000407,0.000414,0.000386,0.000407
03/24/2009,0.000417,0.000422,0.000181,0.000186
03/25/2009,0.000191,0.000365,0.00018,0.000359
03/26/2009,0.000351,0.00036,0.000182,0.000194
03/27/2009,0.000193,0.0002,0.0001,0.0001
03/28/2009,0.0001,0.000156,0.0001,0.000147
03/29/2009,0.000146,0.000333,0.000114,0.000302
03/30/2009,0.00029,0.000294,0.0001,0.0001
03/31/2009,0.0001,0.000173,0.0001,0.000164
04/01/2009,0.000168,0.000283,0.000153,0.000267
04/02/2009,0.000245,0.000588,0.000232,0.000566
04/03/2009,0.000537,0.00054,0.0001,0.0001
04/04/2009,0.000103,0.000357,0.0001,0.000346
04/05/2009,0.000327,0.000386,0.000306,0.000358
04/06/2009,0.000355,0.000366,0.000154,0.000163
04/07/2009,0.000153,0.000261,0.000148,0.000257
04/08/2009,0.000255,0.000361,0.000225,0.000332
04/09/2009,0.000323,0.000327,0.000247,0.00025
04/10/2009,0.000265,0.000371,0.000235,0.000351
04/11/2009,0.000359,0.000362,0.000155,0.000161
04/12/2009,0.000153,0.000373,0.000143,0.000365
04/13/2009,0.000353,0.000365,0.000277,0.000284
04/14/2009,0.000286,0.000312,0.000276,0.000305
04/15/2009,0.000308,0.000438,0.000287,0.000417
04/16/2009,0.000416,0.000436,0.00027,0.000296
04/17/2009,0.000304,0.000308,0.000183,0.000187
04/18/2009,0.000187,0.000235,0.000173,0.000221
04/19/2009,0.000217,0.000226,0.000194,0.000198
04/20/2009,0.000194,0.000199,0.0001,0.0001
04/21/2009,0.000106,0.000454,0.0001,0.00044
04/22/2009,0.000435,0.000445,0.000347,0.00036
04/23/2009,0.000373,0.0004,0.000314,0.000337
04/24/2009,0.000339,0.000343,0.0001,0.0001
04/25/2009,0.000102,0.000161,0.0001,0.000156
04/26/2009,0.000164,0.000637,0.000149,0.000598
04/27/2009,0.000577,0.000586,0.0001,0.0001
04/28/2009,0.000107,0.000109,0.0001,0.0001
04/29/2009,0.000102,0.000683,0.0001,0.000634
04/30/2009,0.000604,0.000605,0.0001,0.0001
05/01/2009,0.0001,0.000235,0.0001,0.000227
05/02/2009,0.000229,0.000328,0.000215,0.000311
05/03/2009,0.0003,0.000378,0.000277,0.00035
05/04/2009,0.000359,0.000365,0.000277,0.000287
05/05/2009,0.000298,0.000304,0.0001,0.0001
05/06/2009,0.000105,0.00046,0.0001,0.000451
05/07/2009,0.000495,0.000505,0.000214,0.000223
05/08/2009,0.000219,0.000234,0.000152,0.000169
05/09/2009,0.000166,0.000336,0.000152,0.000312
05/10/2009,0.000307,0.000464,0.000276,0.00043
05/11/2009,0.000404,0.000427,0.000257,0.000274
05/12/2009,0.000287,0.000419,0.000277,0.000394
05/13/2009,0.000405,0.000415,0.000173,0.000179
05/14/2009,0.00017,0.000428,0.000158,0.000421
05/15/2009,0.000431,0.000445,0.000342,0.000348
05/16/2009,0.000335,0.000562,0.000325,0.000551
05/17/2009,0.000512,0.000521,0.000217,0.000227
05/18/2009,0.000229,0.000547,0.000209,0.000531
05/19/2009,0.000533,0.000544,0.000345,0.00037
05/20/2009,0.000431,0.000442,0.000315,0.000328
05/21/2009,0.000308,0.000537,0.000294,0.000508
05/22/2009,0.000513,0.000733,0.000474,0.000696
05/23/2009,0.000706,0.000721,0.000475,0.000488
05/24/2009,0.000461,0.000465,0.0001,0.0001
05/25/2009,0.0001,0.000227,0.0001,0.000219
05/26/2009,0.000197,0.000631,0.000166,0.000597
05/27/2009,0.000615,0.000624,0.00042,0.000439
05/28/2009,0.000417,0.000951,0.000334,0.000852
05/29/2009,0.000864,0.000871,0.000435,0.000441
05/30/2009,0.00045,0.000574,0.000437,0.000559
05/31/2009,0.000525,0.000781,0.000479,0.000744
06/01/2009,0.000736,0.000769,0.00044,0.000462
06/02/2009,0.000434,0.000945,0.000396,0.000896
06/03/2009,0.000892,0.00091,0.000299,0.000316
06/04/2009,0.000327,0.000375,0.000308,0.000355
06/05/2009,0.000369,0.000381,0.000329,0.000338
06/06/2009,0.000322,0.000421,0.00029,0.00038
06/07/2009,0.000367,0.000586,0.000347,0.000552
06/08/2009,0.000547,0.000549,0.000154,0.000158
06/09/2009,0.00015,0.000334,0.000145,0.000327
06/10/2009,0.000318,0.000338,0.000284,0.000295
06/11/2009,0.000319,0.000644,0.000282,0.000627
06/12/2009,0.000597,0.000793,0.000587,0.000769
06/13/2009,0.000792,0.000795,0.0001,0.0001
06/14/2009,0.000101,0.000103,0.0001,0.0001
06/15/2009,0.0001,0.000716,0.0001,0.000688
06/16/2009,0.000706,0.000733,0.000503,0.000529
06/17/2009,0.000552,0.000568,0.000532,0.000558
06/18/2009,0.000564,0.000591,0.000469,0.000503
06/19/2009,0.000519,0.000533,0.000259,0.000276
06/20/2009,0.000261,0.001044,0.000234,0.001023
06/21/2009,0.001044,0.001098,0.000593,0.000624
06/22/2009,0.000612,0.000654,0.000427,0.000464
06/23/2009,0.000482,0.000542,0.000444,0.000519
06/24/2009,0.000512,0.000546,0.00041,0.000427
06/25/2009,0.000376,0.000592,0.00034,0.000573
06/26/2009,0.000594,0.000601,0.000137,0.000148
06/27/2009,0.000152,0.000689,0.00013,0.000653
06/28/2009,0.000664,0.000688,0.000369,0.000379
06/29/2009,0.000387,0.000394,0.0001,0.0001
06/30/2009,0.000104,0.00056,0.0001,0.000548
07/01/2009,0.000566,0.000612,0.000395,0.000413
07/02/2009,0.000419,0.000422,0.000151,0.000154
07/03/2009,0.00016,0.000781,0.000125,0.000722
07/04/2009,0.000688,0.000689,0.0001,0.0001
07/05/2009,0.000104,0.000893,0.0001,0.000855
07/06/2009,0.000888,0.000917,0.000736,0.000787
07/07/2009,0.000807,0.000882,0.000705,0.000765
07/08/2009,0.000812,0.000833,0.000546,0.000562
07/09/2009,0.000578,0.000948,0.000546,0.000913
07/10/2009,0.000928,0.000966,0.000832,0.000889
07/11/2009,0.000854,0.000902,0.000747,0.000803
07/12/2009,0.000846,0.000869,0.000335,0.000348
07/13/2009,0.000326,0.000454,0.00031,0.000429
07/14/2009,0.000421,0.000657,0.000401,0.000645
07/15/2009,0.000663,0.000827,0.000598,0.00079
07/16/2009,0.000822,0.000847,0.0003,0.000316
07/17/2009,0.000316,0.000319,0.000192,0.000196
07/18/2009,0.0002,0.000202,0.0001,0.0001
07/19/2009,0.000101,0.000708,0.0001,0.000658
07/20/2009,0.000666,0.000672,0.000346,0.000354
07/21/2009,0.000374,0.000378,0.0001,0.0001
07/22/2009,0.000105,0.000942,0.0001,0.000921
07/23/2009,0.000904,0.000981,0.000852,0.000956
07/24/2009,0.000944,0.000961,0.00061,0.000633
07/25/2009,0.000655,0.000687,0.000265,0.00029
07/26/2009,0.000291,0.00049,0.000266,0.000446
07/27/2009,0.000467,0.000524,0.000423,0.000501
07/28/2009,0.000513,0.000637,0.000498,0.000617
07/29/2009,0.000601,0.000619,0.000468,0.000493
07/30/2009,0.000478,0.000487,0.000273,0.000285
07/31/2009,0.000262,0.000858,0.000216,0.000833
08/01/2009,0.000847,0.000882,0.00054,0.000581
08/02/2009,0.000588,0.000592,0.0001,0.0001
08/03/2009,0.0001,0.000785,0.0001,0.000734
08/04/2009,0.000789,0.000938,0.000749,0.000919
08/05/2009,0.000953,0.000992,0.000845,0.000887
08/06/2009,0.000904,0.000945,0.000609,0.000637
08/07/2009,0.000674,0.000773,0.000654,0.00075
08/08/2009,0.000773,0.000793,0.000533,0.000558
08/09/2009,0.000606,0.00061,0.0001,0.0001
08/10/2009,0.000108,0.000114,0.0001,0.000102
08/11/2009,0.000104,0.000502,0.0001,0.000489
08/12/2009,0.000457,0.000472,0.000211,0.000228
08/13/2009,0.000245,0.000262,0.000203,0.000213
08/14/2009,0.000197,0.000717,0.000163,0.000689
08/15/2009,0.000721,0.000758,0.000398,0.000417
08/16/2009,0.000432,0.000933,0.000418,0.000907
08/17/2009,0.000868,0.000871,0.0001,0.0001
08/18/2009,0.000101,0.000406,0.0001,0.000394
08/19/2009,0.000415,0.000568,0.000391,0.000544
08/20/2009,0.000549,0.001372,0.000501,0.0013
08/21/2009,0.001283,0.001348,0.000663,0.000744
08/22/2009,0.000754,0.001202,0.000658,0.001087
08/23/2009,0.0011,0.00111,0.000406,0.000428
08/24/2009,0.000397,0.000687,0.000376,0.000671
08/25/2009,0.000601,0.000613,0.00051,0.000525
08/26/2009,0.000559,0.000705,0.000524,0.000675
08/27/2009,0.000702,0.000715,0.000401,0.000421
08/28/2009,0.000437,0.001036,0.000351,0.000956
08/29/2009,0.001042,0.001088,0.000409,0.000454
08/30/2009,0.000468,0.000477,0.000222,0.000232
08/31/2009,0.00023,0.001095,0.00019,0.001055
09/01/2009,0.001044,0.001083,0.000715,0.000792
09/02/2009,0.000808,0.000854,0.000637,0.000663
09/03/2009,0.000663,0.000679,0.000409,0.000442
09/04/2009,0.000428,0.001016,0.00039,0.000981
09/05/2009,0.000964,0.001007,0.000559,0.000604
09/06/2009,0.000618,0.000899,0.000585,0.000864
09/07/2009,0.000818,0.00084,0.000552,0.000593
09/08/2009,0.000567,0.00095,0.000525,0.000897
09/09/2009,0.000941,0.000947,0.00023,0.000245
09/10/2009,0.000244,0.000783,0.000176,0.000734
09/11/2009,0.000742,0.001755,0.000723,0.001733
09/12/2009,0.00183,0.001869,0.000905,0.000943
09/13/2009,0.00093,0.000943,0.000498,0.000514
09/14/2009,0.000528,0.000534,0.000345,0.000353
09/15/2009,0.000373,0.000984,0.000279,0.00095
09/16/2009,0.000855,0.001259,0.000792,0.001183
09/17/2009,0.001112,0.00116,0.000908,0.000955
09/18/2009,0.000993,0.001026,0.000812,0.000859
09/19/2009,0.000882,0.000891,0.000486,0.000498
09/20/2009,0.000487,0.0005,0.000165,0.000179
09/21/2009,0.000184,0.00019,0.000147,0.000152
09/22/2009,0.000135,0.001062,0.000102,0.001041
09/23/2009,0.001042,0.001135,0.000982,0.001062
09/24/2009,0.001051,0.001083,0.000622,0.000679
09/25/2009,0.000656,0.000678,0.000497,0.000523
09/26/2009,0.000543,0.000713,0.000526,0.000686
09/27/2009,0.000689,0.000694,0.0001,0.0001
09/28/2009,0.0001,0.000384,0.0001,0.000368
09/29/2009,0.000357,0.000448,0.000331,0.000414
09/30/2009,0.000428,0.000554,0.000389,0.000514
10/01/2009,0.000524,0.000732,0.000507,0.000688
10/02/2009,0.000671,0.001561,0.00057,0.001427
10/03/2009,0.001431,0.001452,0.000835,0.000883
10/04/2009,0.000949,0.000989,0.000486,0.000534
10/05/2009,0.000517,0.000775,0.000496,0.00075
10/06/2009,0.000792,0.000808,0.000476,0.000499
10/07/2009,0.000487,0.001243,0.000438,0.001211
10/08/2009,0.001247,0.001314,0.001207,0.001274
10/09/2009,0.001314,0.001331,0.00075,0.000798
10/10/2009,0.00074,0.000745,0.000131,0.000138
10/11/2009,0.00014,0.000652,0.000119,0.000641
10/12/2009,0.000622,0.001347,0.000593,0.001309
10/13/2009,0.001203,0.001206,0.0001,0.0001
10/14/2009,0.000109,0.000803,0.0001,0.000734
10/15/2009,0.000734,0.000866,0.000697,0.00084
10/16/2009,0.000839,0.000855,0.000666,0.000678
10/17/2009,0.000698,0.001667,0.000624,0.001602
10/18/2009,0.001634,0.001671,0.0007,0.000744
10/19/2009,0.000741,0.000807,0.000714,0.000747
