bar_index,date,open,high,low,close,upper_boundary,lower_boundary,go_long_signal,go_short_signal,pending_signal,action_executed,execution_price,reason,position_size,position_avg_price,equity,unrealized_pnl,total_equity
0,2013-01-01,11.640000,11.980000,10.730000,11.060000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
1,2014-01-01,725.270000,734.830000,719.260000,725.270000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
2,2014-01-02,714.980000,738.400000,705.660000,732.440000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
3,2014-01-03,722.200000,749.040000,666.910000,687.800000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
4,2014-01-04,687.120000,749.470000,679.410000,735.790000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
5,2014-01-05,730.010000,755.590000,702.590000,743.180000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
6,2014-01-06,753.840000,770.080000,717.860000,728.240000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
7,2014-01-07,725.130000,761.630000,718.290000,744.810000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
8,2014-01-08,742.100000,751.870000,711.390000,715.870000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
9,2014-01-09,709.270000,714.300000,660.850000,666.310000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
10,2014-01-10,676.960000,737.000000,665.320000,723.360000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
11,2014-01-11,711.590000,729.940000,682.320000,695.080000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
12,2014-01-12,704.350000,717.580000,679.900000,705.070000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
13,2014-01-13,712.990000,733.830000,703.850000,724.160000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
14,2014-01-14,732.910000,749.960000,698.080000,708.800000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
15,2014-01-15,699.840000,734.090000,693.670000,724.880000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
16,2014-01-16,727.230000,734.580000,710.350000,724.680000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
17,2014-01-17,721.520000,728.910000,671.240000,686.010000,,,False,False,,HOLD,,,0.000000,0.000000,100000.000000,0.000000,100000.000000
